datetime,open,high,low,close,volume
2017-07-14 00:30:00,2332.05,2332.11,2324.28,2330.72,8.3073967
2012-01-19 09:30:00,5.52,5.52,5.52,5.52,30.0
2013-09-01 06:00:00,129.99,130.0,129.02,129.02,103.33050593
2020-05-25 23:45:00,8907.7,8914.2,8898.0,8898.1,9.14265314
2013-05-26 19:45:00,130.19,130.21,129.75,129.75,35.55923455
2013-12-19 15:15:00,678.37,691.0,670.0,671.0,661.99277955
2020-06-07 16:15:00,9470.1,9476.6,9458.4,9465.3,24.23135319
2015-08-19 21:15:00,226.45,226.9,225.13,225.13,333.95124387
2012-05-27 13:30:00,5.07,5.07,5.07,5.07,0.74556315
2016-08-06 07:00:00,568.87,568.87,565.89,565.89,37.71158695
2018-11-17 07:30:00,5485.8,5491.7,5485.0,5488.3,9.36896277
2016-05-08 19:30:00,458.12,459.4,458.1,458.23,24.28196422
2019-04-09 14:15:00,5202.9,5208.1,5192.7,5200.8,80.41805752
2014-10-18 16:45:00,391.77,392.89,391.24,391.25,52.60289066
2016-01-25 05:15:00,397.27,397.27,395.27,396.26,12.29096388
2012-01-03 17:15:00,5.14,5.29,5.14,5.29,23.25244398
2019-06-23 16:45:00,10707.9,10708.9,10667.1,10684.7,19.52632745
2019-11-26 20:30:00,7085.0,7096.5,7072.8,7088.8,29.79775639
2020-11-29 08:00:00,17840.0,18055.0,17818.5,18038.4,254.46441397
2018-02-11 10:45:00,7980.76,8040.0,7950.0,8001.0,35.58850766
2015-03-21 11:45:00,260.2,260.79,259.68,259.9,72.03426632
2012-09-14 12:15:00,11.5,11.5,11.5,11.5,312.93913035
2015-05-30 22:30:00,231.84,232.0,231.79,232.0,11.11899302
2014-07-15 16:00:00,624.0,624.99,622.17,622.17,104.82134385
2019-09-18 14:30:00,10191.5,10198.8,10178.2,10183.3,27.82850735
2014-09-26 12:15:00,396.96,400.83,396.53,400.83,197.47408013
2020-11-16 14:15:00,16424.6,16426.8,16388.7,16410.4,126.48235991
2017-05-16 10:30:00,1727.62,1730.0,1725.58,1730.0,216.81936313
2018-08-18 09:00:00,6492.9,6500.0,6492.9,6499.7,8.83761706
2016-01-29 11:00:00,380.0,380.05,378.98,380.05,86.8746982
2015-06-16 13:00:00,238.96,239.0,238.68,238.7,92.84416947
2020-01-11 12:00:00,8040.1,8040.1,8020.0,8030.3,12.62634149
2018-08-28 13:15:00,7056.7,7094.1,7045.3,7065.2,252.6460789
2014-11-01 13:30:00,321.95,323.41,319.9,323.41,395.60049968
2018-10-28 12:00:00,6405.1,6405.7,6404.6,6405.4,3.60732619
2019-11-15 22:30:00,8464.0,8480.1,8461.7,8478.0,9.04875344
2013-02-08 15:30:00,22.25,22.25,22.17,22.17,40.59007845
2019-02-02 00:30:00,3438.9,3442.0,3437.4,3437.4,59.3826763
2017-01-17 02:45:00,830.58,832.99,829.57,831.31,35.77018939
2020-10-12 09:00:00,11362.7,11378.7,11360.5,11362.3,11.337914820000002
2020-05-26 13:30:00,8846.4,8846.5,8826.0,8842.6,44.55773194
2016-04-26 09:45:00,465.6,465.6,464.77,464.77,24.65908821
2018-07-25 04:45:00,8400.1,8437.3,8391.9,8416.2,58.43830485000001
2015-03-29 00:45:00,252.31,252.31,251.1,252.04,76.67244180000002
2017-02-17 10:30:00,1048.0,1048.0,1042.65,1045.85,82.98314835
2017-01-25 19:00:00,894.36,894.76,893.45,894.7,17.81562059
2018-08-25 08:00:00,6678.5,6699.5,6678.3,6693.9,24.87691312
2017-07-17 00:00:00,1917.72,1929.99,1910.57,1914.05,87.71992823000001
2014-01-26 09:00:00,799.38,800.58,798.26,798.26,30.66305996
2013-08-25 09:45:00,110.39,110.4,110.0,110.4,14.62195652
2020-11-23 09:15:00,18610.6,18633.1,18573.8,18582.7,45.33683683
2014-11-09 20:00:00,358.23,358.71,357.47,358.04,41.13922555
2019-07-25 13:15:00,9982.4,10059.7,9972.4,10040.5,133.27785165
2012-07-12 11:45:00,7.12,7.19,7.12,7.19,274.21222082
2014-10-01 06:30:00,388.68,388.68,385.51,385.61,191.9548417
2013-03-07 12:30:00,42.83,42.85,41.91,41.91,115.38233001
2014-10-22 22:30:00,383.21,383.91,383.0,383.64,48.10053408
2016-06-22 08:00:00,669.09,671.0,668.92,669.0,159.02290451
2015-06-27 05:45:00,242.95,243.49,242.95,243.46,205.91117127
2013-05-24 20:45:00,127.33,127.97,126.0,127.5,382.3530143100001
2019-11-29 22:00:00,7709.5,7720.0,7700.6,7720.0,26.55400125
2017-02-12 21:00:00,997.8,1002.91,997.8,1001.87,48.18870893
2014-11-28 07:00:00,363.24,364.21,361.26,364.21,64.30525783
2019-07-13 15:30:00,11409.0,11425.0,11391.3,11401.6,41.39890395
2017-03-17 14:45:00,1163.06,1165.61,1161.73,1165.0,85.90742494999999
2021-02-25 22:15:00,47914.0,48693.8,47585.5,48693.8,134.31675917
2018-04-06 08:15:00,6614.0,6614.0,6560.0,6575.0,15.18645405
2012-09-27 14:30:00,12.2,12.2,12.16,12.16,444.21737034
2020-04-05 14:45:00,6782.0,6786.0,6777.4,6777.4,38.36564042
2016-12-05 21:30:00,749.7,750.99,749.69,750.95,32.84927089
2012-11-02 06:45:00,10.94,10.94,10.94,10.94,7.49931431
2021-01-29 03:45:00,33726.6,33936.3,33585.7,33826.0,218.49444067
